school_code,school,is_district_office,school_and_district
3433,West Mercer Elementary,f,West Mercer Elementary - Mercer Island
3434,Nelsen Middle School,f,Nelsen Middle School - Renton
3435,Tillicum Middle School,f,Tillicum Middle School - Bellevue
3436,Medina Elementary School,f,Medina Elementary School - Bellevue
3437,Newport Heights Elementary,f,Newport Heights Elementary - Bellevue
3439,Chinook Elementary School,f,Chinook Elementary School - Auburn
3440,Briarwood Elementary,f,Briarwood Elementary - Issaquah
3441,Twain Elementary,f,Twain Elementary - Lake Washington
3442,Moorlands Elementary,f,Moorlands Elementary - Northshore
3444,Willapa Elementary,f,Willapa Elementary - Willapa Valley
3446,Cherrydale Elementary,f,Cherrydale Elementary - Steilacoom Hist.
3447,Aylen Jr High,f,Aylen Jr High - Puyallup
3448,Truman,f,Truman - Tacoma
3449,Birney,f,Birney - Tacoma
3452,Whittier,f,Whittier - Tacoma
3453,McCarver,f,McCarver - Tacoma
3454,Beachwood Elementary School,f,Beachwood Elementary School - Clover Park
3455,Dower Elementary School,f,Dower Elementary School - Clover Park
3456,Lakes High School,f,Lakes High School - Clover Park
3457,Carter Lake Elementary School,f,Carter Lake Elementary School - Clover Park
3458,Glacier Middle School,f,Glacier Middle School - White River
3459,Mount Pleasant School,f,Mount Pleasant School - Mount Pleasant
3461,Seaview Elementary,f,Seaview Elementary - Edmonds
3463,Madrona K-8 School,f,Madrona K-8 School - Edmonds
3464,Meadowdale High School,f,Meadowdale High School - Edmonds
3465,Summit School,f,Summit School - Central Valley
3466,Riverside Middle School,f,Riverside Middle School - Riverside
3467,Wahkiakum High School,f,Wahkiakum High School - Wahkiakum
3468,Walla Walla High School,f,Walla Walla High School - Walla Walla
3469,Twin Rivers Group Home,f,Twin Rivers Group Home - Richland
3471,McFarland Middle School,f,McFarland Middle School - Othello
3472,Park Middle School,f,Park Middle School - Kennewick
3473,Crescent School,f,Crescent School - Crescent
3474,Lacamas Lake Elementary,f,Lacamas Lake Elementary - Camas
3475,Cascade Middle School,f,Cascade Middle School - Longview
3476,J M Weatherwax High School,f,J M Weatherwax High School - Aberdeen
3477,Broadview Elementary,f,Broadview Elementary - Oak Harbor
3478,Kimball Elementary School,f,Kimball Elementary School - Seattle
3479,Nathan Hale High School,f,Nathan Hale High School - Seattle
3481,Kitsap Co Detention Ctr,f,Kitsap Co Detention Ctr - ESD 114
3483,Tyee High School,f,Tyee High School - Highline
3485,Hazelwood Elementary School,f,Hazelwood Elementary School - Renton
3486,Newport Senior High School,f,Newport Senior High School - Bellevue
3488,Tukwila Elementary,f,Tukwila Elementary - Tukwila
3489,Parkwood Elementary,f,Parkwood Elementary - Shoreline
3490,Thoreau Elementary,f,Thoreau Elementary - Lake Washington
3491,Park Orchard Elementary School,f,Park Orchard Elementary School - Kent
3492,Inglemoor HS,f,Inglemoor HS - Northshore
3493,Canyon Park Middle School,f,Canyon Park Middle School - Northshore
3494,Klickitat Elem & High,f,Klickitat Elem & High - Klickitat
3496,Interagency Detention School,f,Interagency Detention School - Seattle
3497,Selkirk Jr-Sr High,f,Selkirk Jr-Sr High - Selkirk
3498,Skyline,f,Skyline - Tacoma
3499,Sumner Middle School,f,Sumner Middle School - Sumner
3500,Thomas Middle School,f,Thomas Middle School - Clover Park
3503,Lynnwood Elementary,f,Lynnwood Elementary - Edmonds
3504,Meadowdale Elementary,f,Meadowdale Elementary - Edmonds
3506,Indian Trail Elementary,f,Indian Trail Elementary - Spokane
3507,Structural Alt Confinement School,f,Structural Alt Confinement School - ESD 101
3508,Columbia High And Elementary,f,Columbia High And Elementary - Columbia (Stev)
3509,Tenino High School,f,Tenino High School - Tenino
3510,Garrison Middle School,f,Garrison Middle School - Walla Walla
3511,Richland High School,f,Richland High School - Richland
3513,Yale Elementary,f,Yale Elementary - Woodland
3515,Robert Frost Elementary,f,Robert Frost Elementary - Pasco
3516,Royal High School,f,Royal High School - Royal
3517,McClure Middle School,f,McClure Middle School - Seattle
3518,Fairmount Park Elementary School,f,Fairmount Park Elementary School - Seattle
3519,Adelaide Elementary School,f,Adelaide Elementary School - Federal Way
3521,Renton Park Elementary School,f,Renton Park Elementary School - Renton
3522,International School,f,International School - Bellevue
3524,Cedarcrest High School,f,Cedarcrest High School - Riverview
3525,Lea Hill Elementary School,f,Lea Hill Elementary School - Auburn
3526,Spokane Juvenile Detention School,f,Spokane Juvenile Detention School - ESD 101
3527,Melvin G Syre Elementary,f,Melvin G Syre Elementary - Shoreline
3528,Redmond High,f,Redmond High - Lake Washington
3529,Mann Elementary,f,Mann Elementary - Lake Washington
3530,Roosevelt Elementary School,f,Roosevelt Elementary School - Roosevelt
3531,Long Beach Elementary School,f,Long Beach Elementary School - Ocean Beach
3532,Elmhurst Elementary School,f,Elmhurst Elementary School - Franklin Pierce
3533,Jefferson Elementary,f,Jefferson Elementary - Everett
3534,Chase Lake Elementary,f,Chase Lake Elementary - Edmonds
3536,Brier Elementary,f,Brier Elementary - Edmonds
3537,Sunnyside Elementary,f,Sunnyside Elementary - Marysville
3538,Centennial Middle School,f,Centennial Middle School - West Valley (Spok
3539,Lakes Elementary School,f,Lakes Elementary School - North Thurston
3540,Leland P Brown Elementary,f,Leland P Brown Elementary - Olympia
3541,John Sager Middle School,f,John Sager Middle School - College Place
3543,Jason Lee Middle School,f,Jason Lee Middle School - Vancouver
3545,Laurin Middle School,f,Laurin Middle School - Battle Ground
3546,Woodland High School,f,Woodland High School - Woodland
3547,Camelot Elementary School,f,Camelot Elementary School - Federal Way
3548,Audubon Elementary,f,Audubon Elementary - Lake Washington
3549,Ready Start Preschool,f,Ready Start Preschool - Lake Washington
3550,Lake Youngs Elementary School,f,Lake Youngs Elementary School - Kent
4495,Skyline High School,f,Skyline High School - Issaquah
3552,Capt Johnston Blakely Elem Sch,f,Capt Johnston Blakely Elem Sch - Bainbridge
3553,Raisbeck Aviation High School,f,Raisbeck Aviation High School - Highline
3554,Easton School,f,Easton School - Easton
3555,White Pass Elementary School,f,White Pass Elementary School - White Pass
3556,Vancouver Home Connection,f,Vancouver Home Connection - Vancouver
3557,Fruitland Elementary,f,Fruitland Elementary - Puyallup
3558,Wildwood Elementary,f,Wildwood Elementary - Puyallup
3559,Republic Junior High,f,Republic Junior High - Republic
3560,Alderwood Middle School,f,Alderwood Middle School - Edmonds
3561,Riverview Elementary,f,Riverview Elementary - Snohomish
3562,Colbert Elementary School,f,Colbert Elementary School - Mead
3564,Cascade High School,f,Cascade High School - Cascade
3565,Washington Elementary,f,Washington Elementary - Vancouver
3566,Olympic View Elem,f,Olympic View Elem - Oak Harbor
3567,Sunnycrest Elementary School,f,Sunnycrest Elementary School - Federal Way
3568,Lake Grove Elementary School,f,Lake Grove Elementary School - Federal Way
3569,Echo Glen School,f,Echo Glen School - Issaquah
3572,Mt View Elementary,f,Mt View Elementary - Puyallup
3573,Greenacres Middle School,f,Greenacres Middle School - Central Valley
3574,Prescott Elementary School,f,Prescott Elementary School - Prescott
3575,Prescott Jr Sr High,f,Prescott Jr Sr High - Prescott
3576,Sehome High School,f,Sehome High School - Bellingham
3578,Beacon Hill Elementary,f,Beacon Hill Elementary - Kelso
3579,Republic Senior High School,f,Republic Senior High School - Republic
3580,Taholah High School,f,Taholah High School - Taholah
3581,Wing Luke Elementary School,f,Wing Luke Elementary School - Seattle
3582,Valhalla Elementary School,f,Valhalla Elementary School - Federal Way
3583,Wildwood Elementary School,f,Wildwood Elementary School - Federal Way
3584,Thomas Jefferson High School,f,Thomas Jefferson High School - Federal Way
3585,Westwood Elementary School,f,Westwood Elementary School - Enumclaw
3586,Maplewood Heights Elementary School,f,Maplewood Heights Elementary School - Renton
3587,Benson Hill Elementary School,f,Benson Hill Elementary School - Renton
3588,Interlake Senior High School,f,Interlake Senior High School - Bellevue
3589,Shadow Lake Elementary,f,Shadow Lake Elementary - Tahoma
3590,Finn Hill Middle School,f,Finn Hill Middle School - Lake Washington
3591,Franklin Elementary,f,Franklin Elementary - Lake Washington
3592,Bell Elementary,f,Bell Elementary - Lake Washington
3593,Pine Tree Elementary School,f,Pine Tree Elementary School - Kent
3594,John D. Bud Hawk Elementary at Jackson Park,f,John D. Bud Hawk Elementary at Jackson Park - Central Kitsap
3596,Mt. Stuart Elementary,f,Mt. Stuart Elementary - Ellensburg
3597,Winlock Senior High,f,Winlock Senior High - Winlock
3598,Garrett Heyns High School,f,Garrett Heyns High School - Centralia College
3600,Curtis Senior High,f,Curtis Senior High - University Place
3601,Sunset Primary,f,Sunset Primary - University Place
3602,Lochburn Middle School,f,Lochburn Middle School - Clover Park
3603,Allen Elementary,f,Allen Elementary - Burlington Edison
3605,Sherwood Elementary,f,Sherwood Elementary - Edmonds
3606,Edmonds Elementary,f,Edmonds Elementary - Edmonds
3607,Hazelwood Elementary,f,Hazelwood Elementary - Edmonds
3608,Oak Heights Elementary,f,Oak Heights Elementary - Edmonds
3609,Darrington Elementary School,f,Darrington Elementary School - Darrington
3610,Cheney High School,f,Cheney High School - Cheney
3611,Nisqually Middle School,f,Nisqually Middle School - North Thurston
3612,Tumwater Middle School,f,Tumwater Middle School - Tumwater
3613,Columbia Elementary,f,Columbia Elementary - Columbia (Walla)
3614,Sunnyside Elementary,f,Sunnyside Elementary - Pullman
3615,Lewis & Clark Middle School,f,Lewis & Clark Middle School - Yakima
3616,Special Services,f,Special Services - Clarkston
3618,Marrion Elementary School,f,Marrion Elementary School - Evergreen (Clark)
3620,Royal Middle School,f,Royal Middle School - Royal
3621,Lincoln Elementary,f,Lincoln Elementary - Hoquiam
3622,Hoquiam High School,f,Hoquiam High School - Hoquiam
3625,Nautilus K-8 School,f,Nautilus K-8 School - Federal Way
3626,Sacajawea Middle School,f,Sacajawea Middle School - Federal Way
3627,Mark Twain Elementary School,f,Mark Twain Elementary School - Federal Way
3628,Twin Lakes Elementary School,f,Twin Lakes Elementary School - Federal Way
3630,Hazen Senior High School,f,Hazen Senior High School - Renton
3631,Odle Middle School,f,Odle Middle School - Bellevue
3633,Ardmore Elementary School,f,Ardmore Elementary School - Bellevue
3634,Spiritridge Elementary School,f,Spiritridge Elementary School - Bellevue
3635,Thorndyke Elementary,f,Thorndyke Elementary - Tukwila
3636,Maywood Middle School,f,Maywood Middle School - Issaquah
3637,Maple Hills Elementary,f,Maple Hills Elementary - Issaquah
3640,Kentridge High School,f,Kentridge High School - Kent
3641,Armin Jahr Elementary,f,Armin Jahr Elementary - Bremerton
3643,Lyle Middle School,f,Lyle Middle School - Lyle
3645,Rogers High School,f,Rogers High School - Puyallup
3648,Washington High School,f,Washington High School - Franklin Pierce
3649,Chester H Thompson Elementary,f,Chester H Thompson Elementary - Bethel
3650,Brier Terrace Middle School,f,Brier Terrace Middle School - Edmonds
3651,Pinewood Elementary,f,Pinewood Elementary - Marysville
3653,Lacey Elementary,f,Lacey Elementary - North Thurston
3658,Mint Valley Elementary,f,Mint Valley Elementary - Longview
3659,Cascade Elementary,f,Cascade Elementary - Eastmont
3661,Beacon Avenue Elementary School,f,Beacon Avenue Elementary School - Montesano
3662,Special Education,f,Special Education - Oak Harbor
3664,Coupeville Elementary School,f,Coupeville Elementary School - Coupeville
3665,Sanislo Elementary School,f,Sanislo Elementary School - Seattle
3667,McMurray Middle School,f,McMurray Middle School - Vashon Island
3668,Sierra Heights Elementary School,f,Sierra Heights Elementary School - Renton
3669,Gildo Rey Elementary School,f,Gildo Rey Elementary School - Auburn
3673,Issaquah Valley Elementary,f,Issaquah Valley Elementary - Issaquah
3674,Albert Einstein Middle School,f,Albert Einstein Middle School - Shoreline
3675,Frost Elementary,f,Frost Elementary - Lake Washington
3676,Cedar Valley Elementary School,f,Cedar Valley Elementary School - Kent
3677,Springbrook Elementary School,f,Springbrook Elementary School - Kent
3678,Fairwood Elementary School,f,Fairwood Elementary School - Kent
3679,Shelton View Elementary,f,Shelton View Elementary - Northshore
3680,Cedar Heights Middle School,f,Cedar Heights Middle School - South Kitsap
3683,Lake Tapps Elementary,f,Lake Tapps Elementary - Dieringer
3685,Purdy Elementary School,f,Purdy Elementary School - Peninsula
3686,Monroe Elementary,f,Monroe Elementary - Everett
3687,Serene Lake Elementary,f,Serene Lake Elementary - Mukilteo
3688,Mariner High School,f,Mariner High School - Mukilteo
3689,Hilltop Elementary,f,Hilltop Elementary - Edmonds
3691,College Place Elementary,f,College Place Elementary - Edmonds
3693,Brentwood Elementary School,f,Brentwood Elementary School - Mead
3696,Reeves Middle School,f,Reeves Middle School - Olympia
3697,Pioneer Elementary School,f,Pioneer Elementary School - Olympia
3699,Apple Valley Elementary,f,Apple Valley Elementary - West Valley (Yak)
3700,Brigadoon Elementary School,f,Brigadoon Elementary School - Federal Way
3701,Kilo Middle School,f,Kilo Middle School - Federal Way
3702,Tiffany Park Elementary School,f,Tiffany Park Elementary School - Renton
3703,Rush Elementary,f,Rush Elementary - Lake Washington
3704,Keller Elementary,f,Keller Elementary - Lake Washington
3705,Bennett Elementary School,f,Bennett Elementary School - Bellevue
3706,Rose Hill Middle School,f,Rose Hill Middle School - Lake Washington
3707,Soos Creek Elementary School,f,Soos Creek Elementary School - Kent
3708,Grass Lake Elementary School,f,Grass Lake Elementary School - Kent
3709,Olympic View Elementary,f,Olympic View Elementary - North Thurston
3710,Timberline High School,f,Timberline High School - North Thurston
3711,Washington Middle School,f,Washington Middle School - Olympia
3714,Lowell Elementary School,f,Lowell Elementary School - Seattle
3717,B F Day Elementary School,f,B F Day Elementary School - Seattle
3718,Longfellow Elementary,f,Longfellow Elementary - Spokane
3719,Logan Elementary,f,Logan Elementary - Spokane
3723,Orchard Prairie Elementary,f,Orchard Prairie Elementary - Orchard Prairie
3725,Shaw Island Elementary School,f,Shaw Island Elementary School - Shaw
3727,Garfield Elementary,f,Garfield Elementary - Spokane
3728,Sharpstein Elementary School,f,Sharpstein Elementary School - Walla Walla
3729,Grant Elementary,f,Grant Elementary - Spokane
3730,Scootney Springs Elementary,f,Scootney Springs Elementary - Othello
3731,Kamiakin High School,f,Kamiakin High School - Kennewick
3732,Sacajawea Elementary,f,Sacajawea Elementary - Richland
3733,Dwight D Eisenhower Elementary,f,Dwight D Eisenhower Elementary - Vancouver
3734,Martin Luther King Elementary,f,Martin Luther King Elementary - Vancouver
3735,Harry S Truman Elementary School,f,Harry S Truman Elementary School - Vancouver
3736,Burton Elementary School,f,Burton Elementary School - Evergreen (Clark)
3737,Forks Elementary School,f,Forks Elementary School - Quillayute Valley
3738,Lake Dolloff Elementary School,f,Lake Dolloff Elementary School - Federal Way
3739,Southwood Elementary School,f,Southwood Elementary School - Enumclaw
3740,Talbot Hill Elementary School,f,Talbot Hill Elementary School - Renton
3741,Lindbergh Senior High School,f,Lindbergh Senior High School - Renton
3742,Cherry Crest Elementary School,f,Cherry Crest Elementary School - Bellevue
3745,Evergreen Heights Elementary,f,Evergreen Heights Elementary - Auburn
3746,Apollo Elementary,f,Apollo Elementary - Issaquah
3747,Sandburg Elementary,f,Sandburg Elementary - Lake Washington
3748,Muir Elementary,f,Muir Elementary - Lake Washington
3749,Woodin Elementary,f,Woodin Elementary - Northshore
3750,Ballou Jr High,f,Ballou Jr High - Puyallup
3751,Spanaway Middle School,f,Spanaway Middle School - Bethel
3752,Eisenhower Middle School,f,Eisenhower Middle School - Everett
3753,Sunnycrest Elementary School,f,Sunnycrest Elementary School - Lake Stevens
3754,College Place Middle School,f,College Place Middle School - Edmonds
3755,Lynnwood High School,f,Lynnwood High School - Edmonds
3758,Garry Middle School,f,Garry Middle School - Spokane
3759,Farwell Elementary School,f,Farwell Elementary School - Mead
3761,Salnave Elementary,f,Salnave Elementary - Cheney
3762,Vista Middle School,f,Vista Middle School - Ferndale
3763,Oakbrook Elementary School,f,Oakbrook Elementary School - Clover Park
3764,Meeker Middle School,f,Meeker Middle School - Kent
3766,Decatur High School,f,Decatur High School - Federal Way
3771,Juanita High,f,Juanita High - Lake Washington
3774,Aki Kurose Middle School,f,Aki Kurose Middle School - Seattle
3778,South Lake High School,f,South Lake High School - Seattle
3779,North Elementary,f,North Elementary - Moses Lake
3785,Cascade Middle School,f,Cascade Middle School - Evergreen (Clark)
3786,Union Ridge Elementary,f,Union Ridge Elementary - Ridgefield
3787,Ocean Shores Elementary,f,Ocean Shores Elementary - North Beach
3788,North Beach Junior High School,f,North Beach Junior High School - North Beach
3789,Somerset Elementary School,f,Somerset Elementary School - Bellevue
3790,Leota Middle School,f,Leota Middle School - Northshore
3791,Fairview Middle School,f,Fairview Middle School - Central Kitsap
3792,Chambers Elementary,f,Chambers Elementary - University Place
3794,Freeman Elementary School,f,Freeman Elementary School - Freeman
3795,Tenino Middle School,f,Tenino Middle School - Tenino
3796,Blaine Middle School,f,Blaine Middle School - Blaine
3798,Surprise Lake Middle School,f,Surprise Lake Middle School - Fife
3799,Washington State School for the Blind,f,Washington State School for the Blind - Office of the Governor (Sch for Blind)
3800,Wind River Middle School,f,Wind River Middle School - WA State Center for Childhood Deafness and Hearing Loss
3801,Grand Mound Elementary,f,Grand Mound Elementary - Rochester
3803,Dearborn Park International School,f,Dearborn Park International School - Seattle
3808,Waldron Island School,f,Waldron Island School - Orcas
3811,Secondary Academy for Success,f,Secondary Academy for Success - Northshore
3817,Martin Luther King Jr Elementary,f,Martin Luther King Jr Elementary - Yakima
3818,Maplewood Center,f,Maplewood Center - Edmonds
3819,Excelsior Youth Center School,f,Excelsior Youth Center School - Spokane
3821,La Venture Middle School,f,La Venture Middle School - Mt Vernon
3822,Crestline Elementary School,f,Crestline Elementary School - Evergreen (Clark)
3823,Silver Star Elementary School,f,Silver Star Elementary School - Evergreen (Clark)
3825,Alpac Elementary School,f,Alpac Elementary School - Auburn
3827,Saltars Point Elementary,f,Saltars Point Elementary - Steilacoom Hist.
3829,Mount Vernon Special Ed,f,Mount Vernon Special Ed - Mt Vernon
3831,Colville Junior High School,f,Colville Junior High School - Colville
3833,Hanford High School,f,Hanford High School - Richland
3848,Southworth Elementary,f,Southworth Elementary - Yelm
3851,Northwood Middle School,f,Northwood Middle School - Mead
3854,Scriber Lake High School,f,Scriber Lake High School - Edmonds
3855,Emerson High School,f,Emerson High School - Lake Washington
3856,Community School,f,Community School - Lake Washington
3857,Harbor High School,f,Harbor High School - Aberdeen
3861,Holden Village Community School,f,Holden Village Community School - Lake Chelan
3868,Nova High School,f,Nova High School - Seattle
3874,Licton Springs K-8,f,Licton Springs K-8 - Seattle
3879,Pine Lake Middle School,f,Pine Lake Middle School - Issaquah
3880,Foss,f,Foss - Tacoma
3883,Morgan Center School,f,Morgan Center School - Bremerton
3890,Evergreen Middle School,f,Evergreen Middle School - Central Valley
3891,View Ridge Middle School,f,View Ridge Middle School - Ridgefield
3893,Lakewood Middle School,f,Lakewood Middle School - Lakewood
3894,Springdale Middle School,f,Springdale Middle School - Mary Walker
3896,Sunrise Elementary,f,Sunrise Elementary - Puyallup
3898,Illahee Middle School,f,Illahee Middle School - Federal Way
3899,Discovery,f,Discovery - South Kitsap
3900,La Conner Middle,f,La Conner Middle - La Conner
3902,Gaiser Middle School,f,Gaiser Middle School - Vancouver
3903,Special Services,f,Special Services - Everett
3909,Warden Middle School,f,Warden Middle School - Warden
3910,Oak Grove,f,Oak Grove - Clover Park
3912,New Horizons High School,f,New Horizons High School - Pasco
3913,Longview School District Special Services,f,Longview School District Special Services - Longview
3918,Mica Peak High School,f,Mica Peak High School - Central Valley
3921,Shorewood High School,f,Shorewood High School - Shoreline
3922,Kamiakin Middle School,f,Kamiakin Middle School - Lake Washington
3925,Thurs Co Juv Det/Tumwater West E,f,Thurs Co Juv Det/Tumwater West E - Tumwater
3926,Enterprise Middle School,f,Enterprise Middle School - Richland
3927,Northwood Elementary,f,Northwood Elementary - Puyallup
3929,Chester Elementary School,f,Chester Elementary School - Central Valley
3930,Meridian Middle School,f,Meridian Middle School - Meridian
3932,Lewis and Clark High School,f,Lewis and Clark High School - Vancouver
3936,Alternative High School,f,Alternative High School - Central Kitsap
3937,Maple View Middle School,f,Maple View Middle School - Tahoma
3939,North Whidbey Middle School,f,North Whidbey Middle School - Oak Harbor
3941,Kirk Elementary,f,Kirk Elementary - Lake Washington
3942,Evergreen Elementary School,f,Evergreen Elementary School - Sedro Woolley
3951,PSD Special Services,f,PSD Special Services - Puyallup
3958,Meridian Park Elementary School,f,Meridian Park Elementary School - Shoreline
3960,Capital High School,f,Capital High School - Olympia
3961,Kiona-Benton City Middle School,f,Kiona-Benton City Middle School - Kiona Benton
3962,Liberty Sr High School,f,Liberty Sr High School - Issaquah
3964,Liberty Elementary,f,Liberty Elementary - Marysville
3965,Medical Lake Middle School,f,Medical Lake Middle School - Medical Lake
3968,Sadie Halstead Middle School,f,Sadie Halstead Middle School - Newport
3969,Castle Rock Middle School,f,Castle Rock Middle School - Castle Rock
3970,Sunset Elementary School,f,Sunset Elementary School - Evergreen (Clark)
3971,Fircrest Elementary School,f,Fircrest Elementary School - Evergreen (Clark)
3972,Walker High School,f,Walker High School - Puyallup
3974,Thornton Creek Elementary School,f,Thornton Creek Elementary School - Seattle
3977,Toledo Middle School,f,Toledo Middle School - Toledo
3981,High School Re Entry,f,High School Re Entry - Snohomish
3994,Image Elementary School,f,Image Elementary School - Evergreen (Clark)
3995,Riverview Elementary School,f,Riverview Elementary School - Evergreen (Clark)
3996,Pleasant Valley Primary,f,Pleasant Valley Primary - Battle Ground
3997,Pleasant Valley Middle,f,Pleasant Valley Middle - Battle Ground
4000,Chief Kamiakin Elementary School,f,Chief Kamiakin Elementary School - Sunnyside
4003,Lincoln High School,f,Lincoln High School - Port Angeles
4004,Coupeville Middle School,f,Coupeville Middle School - Coupeville
4007,Benton/Franklin Juvenile Justice Center,f,Benton/Franklin Juvenile Justice Center - Kennewick
4011,Dayton Middle School,f,Dayton Middle School - Dayton
4013,Little Mountain Elementary,f,Little Mountain Elementary - Mt Vernon
4014,Cottonwood Elementary School,f,Cottonwood Elementary School - Central Kitsap
4015,Esquire Hills Elementary,f,Esquire Hills Elementary - Central Kitsap
4016,Clear Creek Elementary School,f,Clear Creek Elementary School - Central Kitsap
4017,Canyon Creek Elementary,f,Canyon Creek Elementary - Northshore
4018,Dickinson Elementary,f,Dickinson Elementary - Lake Washington
4019,Sno-Isle Skills Center,f,Sno-Isle Skills Center  - Mukilteo
4020,Yakima Valley Technical Skills Center,f,Yakima Valley Technical Skills Center - Yakima
4021,Northshore Middle School,f,Northshore Middle School - Northshore
4022,Pace Alternative High School,f,Pace Alternative High School - Wapato
4028,Desert Hills Middle School,f,Desert Hills Middle School - Kennewick
4029,Burley Glenwood Elementary,f,Burley Glenwood Elementary - South Kitsap
4031,Finley Middle School,f,Finley Middle School - Finley
4033,Riverside Elementary,f,Riverside Elementary - Riverside
4034,Sacajawea Elementary School,f,Sacajawea Elementary School - Vancouver
4035,Mullan Road Elementary,f,Mullan Road Elementary - Spokane
4036,Lake Spokane Elementary,f,Lake Spokane Elementary - Nine Mile Falls
4038,West Sound Technical Skills Center,f,West Sound Technical Skills Center - Bremerton
4039,Ocean Park Elementary,f,Ocean Park Elementary - Ocean Beach
4040,West Valley Jr High,f,West Valley Jr High - West Valley (Yak)
4041,Ruth Livingston Elementary,f,Ruth Livingston Elementary - Pasco
4042,Legacy High School,f,Legacy High School - Evergreen (Clark)
4049,Columbia High School,f,Columbia High School - Columbia (Walla)
4051,Wyeast Middle School,f,Wyeast Middle School - Evergreen (Clark)
4055,East Valley Central Middle School,f,East Valley Central Middle School - East Valley (Yak)
4058,Evergreen Forest Elementary,f,Evergreen Forest Elementary - North Thurston
4059,Tapteal Elementary School,f,Tapteal Elementary School - Richland
4060,Badger Mountain Elementary,f,Badger Mountain Elementary - Richland
4062,Ordway Elementary,f,Ordway Elementary - Bainbridge
4063,Gates Secondary School,f,Gates Secondary School - Franklin Pierce
4064,Washington Middle School,f,Washington Middle School - Seattle
4065,Orca K-8 School,f,Orca K-8 School - Seattle
4069,Wellington Elementary,f,Wellington Elementary - Northshore
4071,Lincoln High School,f,Lincoln High School - Walla Walla
4072,Canyon View Elementary School,f,Canyon View Elementary School - Kennewick
4073,Southgate Elementary School,f,Southgate Elementary School - Kennewick
4075,Felida Elementary School,f,Felida Elementary School - Vancouver
4079,Manchester Elementary School,f,Manchester Elementary School - South Kitsap
4080,Discovery Elementary School,f,Discovery Elementary School - Peninsula
4081,Gig Harbor High,f,Gig Harbor High - Peninsula
4092,Juvenile Detention Center,f,Juvenile Detention Center - Yakima
4093,Stanton Academy,f,Stanton Academy - Yakima
4095,Sterling School,f,Sterling School - Eastmont
4096,Mead Elementary,f,Mead Elementary - Lake Washington
4097,East Farms STEAM School,f,East Farms STEAM School - East Valley (Spok
4098,Ponderosa Elementary,f,Ponderosa Elementary - Central Valley
4099,Evergreen Elementary,f,Evergreen Elementary - Bethel
4100,Olympic High School,f,Olympic High School - Central Kitsap
4101,Silverdale Elementary,f,Silverdale Elementary - Central Kitsap
4102,Naches Trail Elementary,f,Naches Trail Elementary - Bethel
4103,Shining Mountain Elementary,f,Shining Mountain Elementary - Bethel
4104,Prairie High School,f,Prairie High School - Battle Ground
4105,Wenatchee Valley Technical Skills Center,f,Wenatchee Valley Technical Skills Center - Wenatchee
4106,Kirkwood Elementary School,f,Kirkwood Elementary School - Toppenish
4107,Lopez Elementary School,f,Lopez Elementary School - Lopez
4108,Preschool Infant Other,f,Preschool Infant Other - Battle Ground
4109,Oakland High School,f,Oakland High School - Tacoma
4110,Chief Leschi Schools,f,Chief Leschi Schools - Puyallup
4113,Granite Falls Middle School,f,Granite Falls Middle School - Granite Falls
4118,Tri-Tech Skills Center,f,Tri-Tech Skills Center - Kennewick
4120,Lake View Elementary School,f,Lake View Elementary School - Auburn
4121,Ridgecrest Elementary,f,Ridgecrest Elementary - Puyallup
4122,Woodland Elementary,f,Woodland Elementary - North Thurston
4123,Deer Park High School,f,Deer Park High School - Deer Park
4124,Hollywood Hill Elementary,f,Hollywood Hill Elementary - Northshore
4125,Woodside Elementary,f,Woodside Elementary - Everett
4126,Crestwood Elementary School,f,Crestwood Elementary School - Kent
4127,Mattson Middle School,f,Mattson Middle School - Kent
4128,Kentwood High School,f,Kentwood High School - Kent
4130,Skyline Elementary School,f,Skyline Elementary School - Ferndale
4131,Steilacoom High,f,Steilacoom High - Steilacoom Hist.
4132,Lakeridge Middle School,f,Lakeridge Middle School - Sumner
4133,Midway Elementary,f,Midway Elementary - Mead
4134,Shiloh Hills Elementary,f,Shiloh Hills Elementary - Mead
4496,Zeiger Elementary,f,Zeiger Elementary - Puyallup
4135,Woodlands Elementary,f,Woodlands Elementary - Central Kitsap
4136,Sunset View Elementary School,f,Sunset View Elementary School - Kennewick
5545,Kalama High School,f,Kalama High School - Kalama
4137,Sequoia High School,f,Sequoia High School - Everett
4139,North Lake Middle School,f,North Lake Middle School - Lake Stevens
4140,Prove High School,f,Prove High School - Lake Stevens
4141,Sunnyslope Elementary School,f,Sunnyslope Elementary School - South Kitsap
4142,John Sedgwick Middle School,f,John Sedgwick Middle School - South Kitsap
4144,Maple Grove Primary,f,Maple Grove Primary - Battle Ground
4145,Valley View Middle School,f,Valley View Middle School - Snohomish
4146,Pope Elementary,f,Pope Elementary - Puyallup
4147,Rockwell Elementary,f,Rockwell Elementary - Lake Washington
4148,Evergreen Middle School,f,Evergreen Middle School - Lake Washington
4149,South Whidbey High School,f,South Whidbey High School - South Whidbey
4150,Marshall Elementary,f,Marshall Elementary - Marysville
4154,Presidents Elementary,f,Presidents Elementary - Arlington
4155,James McGee Elementary,f,James McGee Elementary - Pasco
4156,Key Peninsula Middle School,f,Key Peninsula Middle School - Peninsula
4158,Spanaway Lake High School,f,Spanaway Lake High School - Bethel
4159,Salem Woods Elementary School,f,Salem Woods Elementary School - Monroe
