school_code,school,is_district_office,school_and_district
5221,West Valley High School Freshman Campus,f,West Valley High School Freshman Campus - West Valley (Yak)
5223,Paideia High School,f,Paideia High School - Valley
5224,Yakima Satellite Alternative Programs,f,Yakima Satellite Alternative Programs - Yakima
5225,Selkirk Middle School,f,Selkirk Middle School - Selkirk
5226,Selkirk High School,f,Selkirk High School - Selkirk
5228,Eastmont Columbia Virtual Academy,f,Eastmont Columbia Virtual Academy - Eastmont
5229,Honey Dew Elementary,f,Honey Dew Elementary - Renton
5231,Selah HomeLink,f,Selah HomeLink - Selah
5232,Robert Lince Early Learning Center,f,Robert Lince Early Learning Center - Selah
5233,American Academy,f,American Academy - Mount Adams
5234,ICCF Ed Program,f,ICCF Ed Program - Coupeville
5235,Benton County Jail,f,Benton County Jail - Kennewick
5236,PEARL,f,PEARL - Quilcene
5238,Naselle Homelink,f,Naselle Homelink - Naselle Grays Riv
5239,Cordata Elementary School,f,Cordata Elementary School - Bellingham
5240,Bellevue Big Picture School,f,Bellevue Big Picture School - Bellevue
5242,Easton Secondary School,f,Easton Secondary School - Easton
5243,Pacific Virtual Learning,f,Pacific Virtual Learning - South Bend
5244,Choice,f,Choice - Riverview
5245,WINDWARD HIGH SCHOOL,f,WINDWARD HIGH SCHOOL - Ferndale
5246,Lewis River Academy,f,Lewis River Academy - Woodland
5247,Pacific County Jail,f,Pacific County Jail - South Bend
5248,Olympia Regional Learning Academy - Montessori School,f,Olympia Regional Learning Academy - Montessori School - Olympia
5249,Spokane County Jail,f,Spokane County Jail - Spokane
5250,On Track Academy,f,On Track Academy - Spokane
5440,The Outreach Program,f,The Outreach Program - Kent
5251,Park Orchard Elementary School,f,Park Orchard Elementary School  - Moses Lake
5252,Northport Homelink Program,f,Northport Homelink Program - Northport
5254,Gateway to College,f,Gateway to College - Highline
5255,Gateway to College,f,Gateway to College - Federal Way
5258,Vancouver Contracted Programs,f,Vancouver Contracted Programs - Vancouver
5259,Touchstone,f,Touchstone - Olympia
5260,Seattle Skills Center,f,Seattle Skills Center - Seattle
5262,NW Allprep,f,NW Allprep - Toppenish
5263,Yakima Adult Jail,f,Yakima Adult Jail - Yakima
5264,Ridgeview Group Home,f,Ridgeview Group Home - Yakima
5265,Tesla STEM High School,f,Tesla STEM High School - Lake Washington
5268,Riverpoint Academy,f,Riverpoint Academy - Mead
5269,Westwood Middle School,f,Westwood Middle School - Cheney
5270,Deer Park Early Learning Center,f,Deer Park Early Learning Center - Deer Park
5271,Vancouver iTech Preparatory,f,Vancouver iTech Preparatory - Vancouver
5272,Brewster Alternative School,f,Brewster Alternative School - Brewster
5273,Columbia Basin Technical Skills Center,f,Columbia Basin Technical Skills Center  - Moses Lake
5275,iGrad,f,iGrad - Kent
5276,Louisa Boren STEM K-8,f,Louisa Boren STEM K-8 - Seattle
5277,Southwest Youth and Family Services,f,Southwest Youth and Family Services - Highline
5278,Spokane Valley Tech,f,Spokane Valley Tech - Central Valley
5279,Birth to Three Development Center,f,Birth to Three Development Center - Federal Way
5280,Dynamic Family Services,f,Dynamic Family Services - Federal Way
5281,Central Educational Services,f,Central Educational Services - Bellevue
5282,Talley High School,f,Talley High School - Renton
5283,Columbia Alternative School,f,Columbia Alternative School - Columbia (Stev)
5284,Gateway,f,Gateway - Tukwila
5285,Wahitis Elementary School,f,Wahitis Elementary School - Othello
5286,Manson Middle School,f,Manson Middle School - Manson
5287,Early Childhood Education,f,Early Childhood Education - Shoreline
5288,Birth to Three,f,Birth to Three - Bethel
5289,Mabton Jr. Sr. High,f,Mabton Jr. Sr. High - Mabton
5290,Clark County Juvenile Detention School,f,Clark County Juvenile Detention School - ESD 112
5291,Maple Grove K-8,f,Maple Grove K-8 - Battle Ground
5292,Cascadia Elementary,f,Cascadia Elementary - Seattle
5293,Lind-Ritzville Middle School,f,Lind-Ritzville Middle School - Lind
5294,Phil Snowdon Elementary,f,Phil Snowdon Elementary - Cheney
5296,Snoqualmie Parent Partnership Program,f,Snoqualmie Parent Partnership Program - Snoqualmie Valley
5297,Transition Day Students,f,Transition Day Students - Clover Park
5298,Oakridge Group Home,f,Oakridge Group Home - Clover Park
5299,CVA-Lopez Island,f,CVA-Lopez Island - Lopez
5300,Mt. Rainier Parent Partnership,f,Mt. Rainier Parent Partnership - Eatonville
5301,The Community School,f,The Community School - Spokane
5302,Washington Youth Academy,f,Washington Youth Academy - Washington Military Department
5303,Lind Ritzville Middle School,f,Lind Ritzville Middle School - Ritzville
5305,GRAVITY High School,f,GRAVITY High School - ESD 113
5306,Open Doors at LWIT,f,Open Doors at LWIT - Lake Wa Inst Tech
5307,Tacoma Open Doors,f,Tacoma Open Doors - Tacoma
5308,Jing Mei Elementary School,f,Jing Mei Elementary School - Bellevue
5309,Woodburn Elementary,f,Woodburn Elementary - Camas
5310,Henrietta Lacks Health and Bioscience High School,f,Henrietta Lacks Health and Bioscience High School - Evergreen (Clark)
5311,Hockinson Heights Elementary School,f,Hockinson Heights Elementary School - Hockinson
5312,Discovery High School,f,Discovery High School - Longview
5313,Meadow Crest Early Childhood Education Center,f,Meadow Crest Early Childhood Education Center - Renton
5314,Head Start,f,Head Start - Shoreline
5315,Youthsource,f,Youthsource - Tukwila
5316,Open Doors  Re-Engagement Wenatchee,f,Open Doors  Re-Engagement Wenatchee - Wenatchee
5317,Lewis County Jail,f,Lewis County Jail - Chehalis
5319,Chief Kitsap Academy,f,Chief Kitsap Academy - Suquamish Tribal
5320,Willie Stewart Academy,f,Willie Stewart Academy - Tacoma
5321,Puyallup Open Doors/POD,f,Puyallup Open Doors/POD - Puyallup
5322,Puyallup Parent Partnership Program,f,Puyallup Parent Partnership Program - Puyallup
5323,Skill Source Learning Center,f,Skill Source Learning Center - Moses Lake
5325,Grad Alliance Program,f,Grad Alliance Program - Bellevue
5326,La Center Home School Academy,f,La Center Home School Academy - Lacenter
5327,Goodwill GED,f,Goodwill GED - Tacoma
5328,CVSD Open Doors Programs,f,CVSD Open Doors Programs - Central Valley
5329,Open Doors Youth Reengagement Sultan,f,Open Doors Youth Reengagement Sultan - Sultan
5330,Everett Reengagement Academy,f,Everett Reengagement Academy - Everett
5331,Northshore Online School,f,Northshore Online School - Northshore
5332,New Beginnings,f,New Beginnings - Eatonville
5334,SELAH ACADEMY REENGAGEMENT PROGRAM,f,SELAH ACADEMY REENGAGEMENT PROGRAM  - Selah
5335,Open Door Youth Reengagement Renton,f,Open Door Youth Reengagement Renton - Renton
5336,Lake Roosevelt Alternative School,f,Lake Roosevelt Alternative School - Grand Coulee Dam
5337,SE AREA TECHNICAL SKILLS CENTER,f,SE AREA TECHNICAL SKILLS CENTER - Walla Walla
5338,White River Reengagement Program,f,White River Reengagement Program - White River
5339,PRIDE Prep School,f,PRIDE Prep School  - Innovation Spokane (PRIDE) Charter
5340,Bellingham Re-Engagement Program,f,Bellingham Re-Engagement Program - Bellingham
5342,Open Doors Vancouver,f,Open Doors Vancouver - Vancouver
5343,iGrad Academy,f,iGrad Academy - Oak Harbor
5344,Open Doors Youth Re-Engagement Spokane,f,Open Doors Youth Re-Engagement Spokane - Spokane
5345,Rosalind Franklin STEM Elementary,f,Rosalind Franklin STEM Elementary - Pasco
5346,East Valley Middle School,f,East Valley Middle School - East Valley (Spok
5348,Open Doors Youth Reengagement (1418),f,Open Doors Youth Reengagement (1418) - Federal Way
5349,Granite Falls Open Doors,f,Granite Falls Open Doors - Granite Falls
5350,Quil Ceda Tulalip Elementary,f,Quil Ceda Tulalip Elementary - Marysville
5351,Jane Addams Middle School,f,Jane Addams Middle School - Seattle
5352,SHS Graduation Alliance,f,SHS Graduation Alliance - Sunnyside
5353,CHS Drop-Out Reengagement Program,f,CHS Drop-Out Reengagement Program - University Place
5354,Endeavor Middle School,f,Endeavor Middle School  - Moses Lake
5355,Yakima Open Doors,f,Yakima Open Doors - Yakima
5356,re-engagement,f,re-engagement  - West Valley (Spok
5357,Valley Early Learning Center,f,Valley Early Learning Center - Valley
5358,Edmonds Career Access Program,f,Edmonds Career Access Program - Edmonds
5359,Futurus High School,f,Futurus High School - Centralia
5360,Open Doors Battle Ground,f,Open Doors Battle Ground - Battle Ground
5361,Spokane Public Montessori,f,Spokane Public Montessori - Spokane
5362,College Place High School,f,College Place High School - College Place
5363,Forks Intermediate School,f,Forks Intermediate School - Quillayute Valley
5364,Meriwether Elementary School,f,Meriwether Elementary School - Clover Park
5365,Rainier Elementary School,f,Rainier Elementary School - Clover Park
5366,Bellingham Family Partnership Program,f,Bellingham Family Partnership Program - Bellingham
5367,Desert Oasis High School,f,Desert Oasis High School - Othello
5368,Wallace & Priscilla Stevenson Intermediate School,f,Wallace & Priscilla Stevenson Intermediate School - White Salmon
5369,Lewis County Alternative School,f,Lewis County Alternative School - Chehalis
5370,Highline Open Doors 1418,f,Highline Open Doors 1418 - Highline
5371,Highline Home School Center,f,Highline Home School Center - Highline
5372,Acceleration Academy,f,Acceleration Academy - Bethel
5373,Lummi Nation School,f,Lummi Nation School - Lummi Tribal
5375,Summit Public School: Sierra,f,Summit Public School: Sierra - Summit Sierra Charter
5376,Summit Public School: Olympus,f,Summit Public School: Olympus - Summit Olympus Charter
5377,Excel Public Charter School,f,Excel Public Charter School - Green Dot Excel Charter
5378,Destiny Middle School,f,Destiny Middle School - Green Dot Destiny Charter
5379,SOAR Academy Public Charter School,f,SOAR Academy Public Charter School - SOAR Charter
5380,Rainier Prep,f,Rainier Prep - Rainier Prep Charter
5381,Spokane International Academy,f,Spokane International Academy - Spokane Int'l Charter
5382,Summit View Middle School,f,Summit View Middle School - Battle Ground
5383,John Campbell Primary School,f,John Campbell Primary School - Selah
5384,Selah Intermediate School,f,Selah Intermediate School - Selah
5385,Selah Middle School,f,Selah Middle School - Selah
5386,Clover Park Early Learning Program,f,Clover Park Early Learning Program - Clover Park
5387,Four Heroes Elementary,f,Four Heroes Elementary - Clover Park
5388,Royal Intermediate School,f,Royal Intermediate School - Royal
5389,Birth to Three,f,Birth to Three - Steilacoom Hist.
5390,White River Homeschool,f,White River Homeschool - White River
5391,Barbara McClintock STEM Elementary,f,Barbara McClintock STEM Elementary - Pasco
5392,Captain Gray STEM Elementary,f,Captain Gray STEM Elementary - Pasco
5393,Internet Pasco Academy of Learning,f,Internet Pasco Academy of Learning - Pasco
5394,Marie Curie STEM Elementary,f,Marie Curie STEM Elementary - Pasco
