old_name,new_name,note
nonhc_Mathematics_8_Spring_Number of Students,map_nonhc_math_g8_spring_n_students,
nonhc_Reading_8_Spring_Number of Students,map_nonhc_reading_g8_spring_n_students,
nonhc_Reading_6_Spring_Number of Students,map_nonhc_reading_g6_spring_n_students,
nonhc_Reading_7_Spring_Number of Students,map_nonhc_reading_g7_spring_n_students,
2012 Composite Score,bex_composite_score_2012,
2015 Composite Score,bex_composite_score_2015,
2020 Composite Score? (2021 FMPU),bex_composite_score_2020,
2024 BEXVI Composite Score,bex_composite_score_2024,
2022 Composite (2025 FMPU) ,bex_composite_score_2022,
2018 BCA Score,bex_bca_score_2018,
2022 BCA Score,bex_bca_score_2022,
Last Major Update,bex_last_major_update,
2022 LEA,bex_lea_2022,
Scope of Work,bex_scope_of_work,
"Health, Safety, Security & Building Condition - Raw Score",bex_condition_raw,
Min-Max Normalization (1-5 Scale),bex_condition_scaled,
Learning Environment - Raw Score,bex_learning_env_raw,
Min-Max Normalization (1-5 Scale)2,bex_learning_env_scaled,
Accessibility - Raw Score,bex_accessibility_raw,
Min-Max Normalization (1-5 Scale)3,bex_accessibility_scaled,
Facilities Planning (2032 Enrollment Forecasts/Capacity),bex_facilities_planning_raw,
Min-Max Normalization (1-5 Scale)4,bex_facilities_planning_scaled,
School Equity Index,bex_equity_index,
Min-Max Normalization (1-5 Scale)5,bex_equity_index_scaled,
Weighted Overall Score,bex_weighted_overall_score,
BEX IV Rank,bex_iv_rank,
pct_2025_utilization,bldg_utilization_pct_2025,
pct_building_condition,bldg_condition_pct,
learning_environment_score,bldg_learning_env_score,
2022_building_condition_score,bldg_condition_score_2022,
es_zone,income_es_zone,
area_worker_earnings_median,income_area_worker_earnings_median,
area_percapita_income,income_area_percapita,
bldg_staff_transfer_in,churn_transfer_in,
bldg_staff_transfer_out,churn_transfer_out,
bldg_staff_hire,churn_hire,
bldg_staff_depart,churn_depart,
bldg_staff_added,churn_added,
bldg_staff_lost,churn_lost,
bldg_staff_net_churn,churn_net,
grade_level,(dropped),constant 'All Grades' by construction
EOC_Biology_All Students_pct_noscore,asmt_eoc_biology_all_pct_noscore,
EOC_Biology_Female_pct_noscore,asmt_eoc_biology_female_pct_noscore,
EOC_Biology_Non-English Language Learners_pct_noscore,asmt_eoc_biology_non_english_language_learners_pct_noscore,
EOC_Biology_Non-Foster Care_pct_noscore,asmt_eoc_biology_non_foster_care_pct_noscore,
EOC_Biology_Non-Homeless_pct_noscore,asmt_eoc_biology_non_homeless_pct_noscore,
EOC_Biology_Non-Low-Income_pct_noscore,asmt_eoc_biology_non_low_income_pct_noscore,
EOC_Biology_Non-Migrant_pct_noscore,asmt_eoc_biology_non_migrant_pct_noscore,
EOC_Biology_Non-Students with Disabilities_pct_noscore,asmt_eoc_biology_students_without_disabilities_pct_noscore,
EOC_Biology_Unknown_pct_noscore,asmt_eoc_biology_unknown_pct_noscore,
SBAC_ELA_All Students_pct_noscore,asmt_sbac_ela_all_pct_noscore,
SBAC_ELA_Female_pct_noscore,asmt_sbac_ela_female_pct_noscore,
SBAC_ELA_Low-Income_pct_noscore,asmt_sbac_ela_low_income_pct_noscore,
SBAC_ELA_Male_pct_noscore,asmt_sbac_ela_male_pct_noscore,
SBAC_ELA_Non-English Language Learners_pct_noscore,asmt_sbac_ela_non_english_language_learners_pct_noscore,
SBAC_ELA_Non-Foster Care_pct_noscore,asmt_sbac_ela_non_foster_care_pct_noscore,
SBAC_ELA_Non-Homeless_pct_noscore,asmt_sbac_ela_non_homeless_pct_noscore,
SBAC_ELA_Non-Low-Income_pct_noscore,asmt_sbac_ela_non_low_income_pct_noscore,
SBAC_ELA_Non-Migrant_pct_noscore,asmt_sbac_ela_non_migrant_pct_noscore,
SBAC_ELA_Non-Section 504_pct_noscore,asmt_sbac_ela_non_section_504_pct_noscore,
SBAC_ELA_Non-Students with Disabilities_pct_noscore,asmt_sbac_ela_students_without_disabilities_pct_noscore,
SBAC_ELA_Section 504_pct_noscore,asmt_sbac_ela_section_504_pct_noscore,
SBAC_ELA_Unknown_pct_noscore,asmt_sbac_ela_unknown_pct_noscore,
SBAC_ELA_White_pct_noscore,asmt_sbac_ela_white_pct_noscore,
SBAC_Math_All Students_pct_noscore,asmt_sbac_math_all_pct_noscore,
SBAC_Math_Female_pct_noscore,asmt_sbac_math_female_pct_noscore,
SBAC_Math_Low-Income_pct_noscore,asmt_sbac_math_low_income_pct_noscore,
SBAC_Math_Male_pct_noscore,asmt_sbac_math_male_pct_noscore,
SBAC_Math_Non-English Language Learners_pct_noscore,asmt_sbac_math_non_english_language_learners_pct_noscore,
SBAC_Math_Non-Foster Care_pct_noscore,asmt_sbac_math_non_foster_care_pct_noscore,
SBAC_Math_Non-Homeless_pct_noscore,asmt_sbac_math_non_homeless_pct_noscore,
SBAC_Math_Non-Low-Income_pct_noscore,asmt_sbac_math_non_low_income_pct_noscore,
SBAC_Math_Non-Migrant_pct_noscore,asmt_sbac_math_non_migrant_pct_noscore,
SBAC_Math_Non-Section 504_pct_noscore,asmt_sbac_math_non_section_504_pct_noscore,
SBAC_Math_Non-Students with Disabilities_pct_noscore,asmt_sbac_math_students_without_disabilities_pct_noscore,
SBAC_Math_Section 504_pct_noscore,asmt_sbac_math_section_504_pct_noscore,
SBAC_Math_Unknown_pct_noscore,asmt_sbac_math_unknown_pct_noscore,
SBAC_Math_White_pct_noscore,asmt_sbac_math_white_pct_noscore,
MSPHSPE_Science_All Students_pct_noscore,asmt_msphspe_science_all_pct_noscore,
MSPHSPE_Science_Asian_pct_noscore,asmt_msphspe_science_asian_pct_noscore,
MSPHSPE_Science_Black/ African American_pct_noscore,asmt_msphspe_science_black_african_american_pct_noscore,
MSPHSPE_Science_Female_pct_noscore,asmt_msphspe_science_female_pct_noscore,
MSPHSPE_Science_Low-Income_pct_noscore,asmt_msphspe_science_low_income_pct_noscore,
MSPHSPE_Science_Male_pct_noscore,asmt_msphspe_science_male_pct_noscore,
MSPHSPE_Science_Non-English Language Learners_pct_noscore,asmt_msphspe_science_non_english_language_learners_pct_noscore,
MSPHSPE_Science_Non-Foster Care_pct_noscore,asmt_msphspe_science_non_foster_care_pct_noscore,
MSPHSPE_Science_Non-Homeless_pct_noscore,asmt_msphspe_science_non_homeless_pct_noscore,
MSPHSPE_Science_Non-Low-Income_pct_noscore,asmt_msphspe_science_non_low_income_pct_noscore,
MSPHSPE_Science_Non-Migrant_pct_noscore,asmt_msphspe_science_non_migrant_pct_noscore,
MSPHSPE_Science_Non-Section 504_pct_noscore,asmt_msphspe_science_non_section_504_pct_noscore,
MSPHSPE_Science_Non-Students with Disabilities_pct_noscore,asmt_msphspe_science_students_without_disabilities_pct_noscore,
MSPHSPE_Science_Students with Disabilities_pct_noscore,asmt_msphspe_science_students_with_disabilities_pct_noscore,
MSPHSPE_Science_Unknown_pct_noscore,asmt_msphspe_science_unknown_pct_noscore,
